TSDate,serieNames,sales
2014-02-15,serie_1,207.0
2014-02-15,serie_2,89.0
2014-02-16,serie_1,2496.0
2014-02-16,serie_2,938.0
2014-02-17,serie_1,2558.0
2014-02-17,serie_2,945.0
2014-02-18,serie_1,1971.0
2014-02-18,serie_2,758.0
2014-02-19,serie_1,2208.0
2014-02-19,serie_2,825.0
2014-02-20,serie_1,1961.0
2014-02-20,serie_2,751.0
2014-02-21,serie_1,1723.0
2014-02-21,serie_2,641.0
2014-02-22,serie_1,221.0
2014-02-22,serie_2,80.0
2014-02-23,serie_1,2292.0
2014-02-23,serie_2,838.0
2014-02-24,serie_1,2476.0
2014-02-24,serie_2,909.0
2014-02-25,serie_1,1938.0
2014-02-25,serie_2,736.0
2014-02-26,serie_1,2233.0
2014-02-26,serie_2,843.0
2014-02-27,serie_1,2159.0
2014-02-27,serie_2,793.0
2014-02-28,serie_1,1798.0
2014-02-28,serie_2,648.0
2014-03-01,serie_1,149.0
2014-03-01,serie_2,70.0
2014-03-02,serie_1,2312.0
2014-03-02,serie_2,840.0
2014-03-03,serie_1,2512.0
2014-03-03,serie_2,940.0
2014-03-04,serie_1,2035.0
2014-03-04,serie_2,744.0
2014-03-05,serie_1,2291.0
2014-03-05,serie_2,834.0
2014-03-06,serie_1,2014.0
2014-03-06,serie_2,753.0
2014-03-07,serie_1,1755.0
2014-03-07,serie_2,629.0
2014-03-08,serie_1,274.0
2014-03-08,serie_2,70.0
2014-03-09,serie_1,2336.0
2014-03-09,serie_2,820.0
2014-03-10,serie_1,2532.0
2014-03-10,serie_2,895.0
2014-03-11,serie_1,1881.0
2014-03-11,serie_2,685.0
2014-03-12,serie_1,2245.0
2014-03-12,serie_2,788.0
2014-03-13,serie_1,2035.0
2014-03-13,serie_2,731.0
2014-03-14,serie_1,1697.0
2014-03-14,serie_2,603.0
2014-03-15,serie_1,136.0
2014-03-15,serie_2,45.0
2014-03-16,serie_1,2084.0
2014-03-16,serie_2,735.0
2014-03-17,serie_1,2431.0
2014-03-17,serie_2,850.0
2014-03-18,serie_1,2006.0
2014-03-18,serie_2,674.0
2014-03-19,serie_1,2232.0
2014-03-19,serie_2,779.0
2014-03-20,serie_1,1975.0
2014-03-20,serie_2,682.0
2014-03-21,serie_1,1667.0
2014-03-21,serie_2,580.0
2014-03-22,serie_1,528.0
2014-03-22,serie_2,185.0
2014-03-23,serie_1,2287.0
2014-03-23,serie_2,809.0
2014-03-24,serie_1,2912.0
2014-03-24,serie_2,965.0
2014-03-25,serie_1,2352.0
2014-03-25,serie_2,813.0
2014-03-26,serie_1,2694.0
2014-03-26,serie_2,899.0
2014-03-27,serie_1,2660.0
2014-03-27,serie_2,882.0
2014-03-28,serie_1,2286.0
2014-03-28,serie_2,766.0
2014-03-29,serie_1,344.0
2014-03-29,serie_2,161.0
2014-03-30,serie_1,3124.0
2014-03-30,serie_2,1079.0
2014-03-31,serie_1,3323.0
2014-03-31,serie_2,1138.0
2014-04-01,serie_1,2394.0
2014-04-01,serie_2,815.0
2014-04-02,serie_1,2476.0
2014-04-02,serie_2,822.0
2014-04-03,serie_1,2418.0
2014-04-03,serie_2,838.0
2014-04-04,serie_1,2063.0
2014-04-04,serie_2,714.0
2014-04-05,serie_1,105.0
2014-04-05,serie_2,66.0
2014-04-06,serie_1,2801.0
2014-04-06,serie_2,919.0
2014-04-07,serie_1,2688.0
2014-04-07,serie_2,936.0
2014-04-08,serie_1,2210.0
2014-04-08,serie_2,771.0
2014-04-09,serie_1,2665.0
2014-04-09,serie_2,900.0
2014-04-10,serie_1,2230.0
2014-04-10,serie_2,807.0
2014-04-11,serie_1,1858.0
2014-04-11,serie_2,671.0
2014-04-12,serie_1,160.0
2014-04-12,serie_2,101.0
2014-04-13,serie_1,2553.0
2014-04-13,serie_2,882.0
2014-04-14,serie_1,2807.0
2014-04-14,serie_2,998.0
2014-04-15,serie_1,2230.0
2014-04-15,serie_2,792.0
2014-04-16,serie_1,2366.0
2014-04-16,serie_2,881.0
2014-04-17,serie_1,2225.0
2014-04-17,serie_2,866.0
2014-04-18,serie_1,1883.0
2014-04-18,serie_2,682.0
2014-04-19,serie_1,155.0
2014-04-19,serie_2,56.0
2014-04-20,serie_1,2339.0
2014-04-20,serie_2,858.0
2014-04-21,serie_1,2524.0
2014-04-21,serie_2,916.0
2014-04-22,serie_1,2569.0
2014-04-22,serie_2,971.0
2014-04-23,serie_1,2487.0
2014-04-23,serie_2,931.0
2014-04-24,serie_1,2411.0
2014-04-24,serie_2,888.0
2014-04-25,serie_1,1756.0
2014-04-25,serie_2,664.0
2014-04-26,serie_1,137.0
2014-04-26,serie_2,91.0
2014-04-27,serie_1,956.0
2014-04-27,serie_2,339.0
2014-04-28,serie_1,2449.0
2014-04-28,serie_2,950.0
2014-04-29,serie_1,2476.0
2014-04-29,serie_2,915.0
2014-04-30,serie_1,2640.0
2014-04-30,serie_2,968.0
2014-05-01,serie_1,2159.0
2014-05-01,serie_2,792.0
2014-05-02,serie_1,1632.0
2014-05-02,serie_2,610.0
2014-05-03,serie_1,598.0
2014-05-03,serie_2,168.0
2014-05-04,serie_1,2617.0
2014-05-04,serie_2,939.0
2014-05-05,serie_1,3660.0
2014-05-05,serie_2,1258.0
2014-05-06,serie_1,2494.0
2014-05-06,serie_2,835.0
2014-05-07,serie_1,2559.0
2014-05-07,serie_2,921.0
2014-05-08,serie_1,2901.0
2014-05-08,serie_2,975.0
2014-05-09,serie_1,2302.0
2014-05-09,serie_2,777.0
2014-05-10,serie_1,434.0
2014-05-10,serie_2,136.0
2014-05-11,serie_1,3015.0
2014-05-11,serie_2,952.0
2014-05-12,serie_1,3139.0
2014-05-12,serie_2,1051.0
2014-05-13,serie_1,2670.0
2014-05-13,serie_2,880.0
